Tempo	C1	C2	C3	C4	C5
0	3,1643922	9,31126	18,589008	9,608071	7,549541
0,02	-7,2718787	10,94851	7,511243	9,5219	8,095291
0,04	-7,4920936	13,016615	7,846352	13,763431	10,038927
0,06	-8,191036	12,154904	14,969825	15,975154	11,513409
0,08	-4,887813	9,713391	11,743198	8,181462	6,6016593
0,1	0,34947145	9,85701	7,348475	6,6591067	5,7112255
0,12	5,739949	10,661273	9,722966	8,44955	8,55487
0,14	8,258059	10,259142	10,891063	9,64637	10,536804
0,16	5,2133484	9,933606	11,015532	11,465536	10,555953
0,18	0,78032666	9,780414	10,144247	9,569773	9,512326
0,2	-4,150572	10,058076	9,904882	9,091045	9,31126
0,22	-5,8931417	10,010203	9,847435	8,909128	9,876159
0,24	-4,0548263	7,721883	9,75169	9,703817	10,479357
0,26	-0,6750065	3,690993	9,655944	10,105948	10,450633
0,28	0,6271337	1,4601204	9,828286	9,560199	9,531475
0,3	0,90479594	3,5378	9,780414	8,688913	10,019777
0,32	0,8090504	6,2665496	9,598496	9,062322	10,71872
0,34	0,8856468	14,165563	9,301685	9,071896	10,622974
0,36	1,5271424	19,603912	9,426155	9,024023	12,030436
0,38	2,0824668	15,649619	9,445304	8,957002	11,676176
0,4	1,622888	7,0803876	9,234664	9,110194	8,506997
0,42	0,2920241	7,5303917	9,29211	8,985725	5,653778
0,44	-0,5313881	7,808054	9,378282	8,947427	4,0069537
0,46	-0,5792609	11,838944	9,435729	9,004874	3,2601378
0,48	-0,359046	14,280457	9,368708	8,9761505	3,2888615
0,5	-0,023936402	12,422992	9,244238	8,784659	4,696322
0,52	0,37819514	6,525063	9,234664	8,851681	6,3622956
0,54	0,46436617	9,828286	9,20594	9,071896	16,128347
0,56	0,2154276	12,56661	9,349558	9,071896	19,603912
0,58	0	8,066567	9,531475	8,822957	8,784659
0,6	-0,2154276	7,0708127	9,349558	9,119769	3,844186
0,62	-0,15798025	9,41658	9,31126	9,225089	3,0973704
0,64	-0,11968201	9,85701	9,272962	9,368708	4,2271686
0,66	-0,110107444	9,608071	9,502751	9,483603	9,445304
0,68	-0,14840569	10,038927	9,5889225	10,278291	18,7805
0,7	-0,4835153	10,268716	9,876159	10,900637	16,214518
0,72	-1,1154363	10,077225	9,445304	12,288948	6,4484663
0,74	-0,5888355	9,952756	8,861256	14,625141	6,7261286
0,76	0,8760723	9,761265	10,125097	16,626225	9,167642
0,78	1,2686293	9,569773	12,595334	17,890066	10,450633
0,8	0,10053288	9,483603	12,681505	15,793238	12,422992
0,82	-1,7665064	9,550624	11,982562	12,403843	10,125097
0,84	-2,8388572	9,64637	14,050668	11,130426	5,998462
0,86	-2,494173	9,407005	13,4666195	10,29744	6,9080453
0,88	-1,862252	9,138918	13,705983	9,196365	10,450633
0,9	-2,3122563	9,407005	15,927281	8,947427	11,637878
0,92	-2,6090677	9,684668	15,257062	10,326163	10,172971
0,94	-1,6037389	9,54105	14,395351	6,639958	9,253813
0,96	-0,47394073	9,31126	12,8538475	1,4026731	9,148493
0,98	0,83777404	9,18679	11,9346895	4,3133397	9,129343
1	4,1601467	9,253813	13,648536	7,1474094	9,339984
1,02	5,634629	9,31126	14,787909	6,7357035	9,569773
1,04	3,2601378	9,129343	12,978316	4,648449	9,301685
1,06	1,7377827	8,899554	10,096374	3,6335456	9,033598
1,08	1,5654407	9,043172	7,2718787	4,131423	8,794233
1,1	0,043085523	9,445304	8,277207	4,2271686	8,928278
1,12	-1,4313968	9,943181	7,721883	4,236743	9,617646
1,14	-1,6037389	10,134672	5,2516465	5,49101	9,933606
1,16	0,5888355	10,2016945	5,797396	7,2527294	9,435729
1,18	2,5899186	10,307014	5,0601554	7,434646	9,071896
1,2	2,2931073	10,268716	4,3133397	7,769756	9,617646
1,22	1,4984187	10,709146	4,782493	10,460207	11,36979
1,24	-0,36862057	11,28362	4,7250457	12,260224	16,137922
1,26	-2,3697038	12,212352	4,715471	13,44747	16,26239
1,28	-3,2218397	12,997466	5,309094	14,021944	14,462374
1,3	-2,819708	13,169807	5,8644185	11,293194	15,63047
1,32	-3,6431203	12,978316	6,3527207	10,115523	18,76135
1,34	-5,3378177	13,016615	6,975067	11,858093	19,603912
1,36	-6,180379	14,041093	8,401677	9,359133	18,65603
1,38	-6,0463347	12,758101	9,876159	2,6282167	14,32833
1,4	-4,6293	12,46129	11,532558	0,7994758	10,421909
1,42	-3,2984362	10,814466	12,9591675	2,6569405	9,320834
1,44	-1,8431029	10,29744	13,323001	5,2707953	10,498506
1,46	-0,8760723	11,226172	14,146413	10,651698	11,1208515
1,48	-0,2154276	8,861256	15,046422	16,568777	7,4442205
1,5	0,8856468	4,8782387	13,02619	14,720886	5,452712
1,52	0,6271337	5,5580325	7,02294	7,281453	5,8165455
