Tempo	DP1	DP2	DP3	DP4	DP5
0	2,43002352	2,2931073	8,00912	5,7016506	8,028269
0,02	3,3032232	4,5144053	7,2335806	5,8165455	14,060242
0,04	3,78578112	15,123018	7,2527294	6,391019	11,953838
0,06	3,8087604	18,55071	11,331492	7,042089	11,321918
0,08	3,8317392	4,7441945	17,114527	7,616563	14,491097
0,1	2,76321804	7,2144313	8,1623125	8,784659	9,828286
0,12	1,43043936	4,3133397	7,02294	10,412334	8,382527
0,14	1,32703416	5,672927	9,091045	10,19212	9,512326
0,16	1,22362872	12,422992	9,531475	9,349558	10,29744
0,18	1,372992	9,301685	9,5219	8,937852	9,665519
0,2	1,14320256	7,156984	9,8953085	9,41658	9,20594
0,22	0,97086048	11,025106	9,129343	8,909128	10,555953
0,24	0,718092	10,479357	9,110194	6,8888965	8,497422
0,26	-0,132128933	7,875076	9,5219	6,256975	7,9708214
0,28	-1,35001296	8,430401	9,64637	6,2282515	9,799562
0,3	-1,097244648	9,6942425	9,703817	5,845269	9,98148
0,32	0,143618412	9,158067	9,435729	5,9697385	9,924032
0,34	1,51086564	8,861256	9,579348	8,842107	8,889979
0,36	0,936391992	9,454879	9,636795	10,967659	8,957002
0,38	-0,08617104	8,957002	9,397431	13,99322	9,31126
0,4	-2,18874444	9,091045	9,349558	10,776168	9,493176
0,42	-0,62617632	8,861256	9,272962	11,858093	9,502751
0,44	2,82066564	8,889979	9,196365	10,584677	9,225089
0,46	3,10790232	9,272962	9,148493	9,119769	9,177217
0,48	0,315960504	9,253813	9,071896	9,301685	9,5889225
0,5	-0,913413048	9,014449	9,215514	10,986808	9,493176
0,52	-0,95937096	9,148493	9,368708	8,784659	9,2825365
0,54	-0,82149732	9,148493	9,3878565	9,531475	8,957002
0,56	-2,17725504	9,043172	9,3878565	9,742115	9,004874
0,58	-3,02747616	9,148493	9,158067	9,062322	9,31126
0,6	-1,63724988	9,004874	9,119769	9,483603	8,957002
0,62	0,476813112	9,349558	9,253813	9,54105	9,062322
0,64	1,097244648	9,722966	9,320834	9,301685	9,655944
0,66	-0,68362362	9,2825365	9,359133	9,253813	10,163396
0,68	-2,20023396	9,435729	9,253813	9,359133	11,025106
0,7	-1,71767616	9,675094	10,220843	9,493176	11,59958
